race_date,venue,race_no,race_name,distance,surface,direction,track_cond,weather,field_size,waku,horse_no,horse_name,sex,age,weight_carried,horse_weight,weight_change,jockey,trainer,win_odds,finish_position,finish_time,last_3f,passage_rate,popularity,result_weight,result_weight_change
2023/01/16,船橋,1,Ｃ３十,1200,ダ,左,良,雨,12,4,4,ハーモニージョーイ,牡,6,56.0,477,7,笹川翼,新井清,,1.0,1:18.3,40.2,1-1-1,1.0,477,7
2023/01/16,船橋,1,Ｃ３十,1200,ダ,左,良,雨,12,8,12,シュウエットカズ,牡,5,52.0,568,8,小林捺,矢内博,,2.0,1:18.7,40.5,4-2-2,2.0,568,8
2023/01/16,船橋,1,Ｃ３十,1200,ダ,左,良,雨,12,2,2,アールレアル,セ,0,56.0,451,2,澤田龍,川村守,,3.0,1:20.1,41.1,6-7-6,4.0,451,2
2023/01/16,船橋,1,Ｃ３十,1200,ダ,左,良,雨,12,5,5,バロンキング,牡,7,56.0,462,10,山口達,阿井正,,4.0,1:20.3,41.3,8-8-5,10.0,462,10
2023/01/16,船橋,1,Ｃ３十,1200,ダ,左,良,雨,12,5,6,エスティエレガント,牝,5,54.0,466,-6,山中悠,矢内博,,5.0,1:20.6,40.6,9-9-9,3.0,466,-6
2023/01/16,船橋,1,Ｃ３十,1200,ダ,左,良,雨,12,3,3,リュウキタイヨウ,セ,0,53.0,440,3,木間龍,玉井等,,6.0,1:20.7,41.8,5-6-8,8.0,440,3
2023/01/16,船橋,1,Ｃ３十,1200,ダ,左,良,雨,12,6,8,リッキーナカダテ,牝,4,54.0,458,-10,實川純,佐々清,,7.0,1:20.7,41.9,7-5-3,5.0,458,-10
2023/01/16,船橋,1,Ｃ３十,1200,ダ,左,良,雨,12,1,1,ベティシャンクシー,牝,4,54.0,457,4,山本紀,齊藤敏,,8.0,1:21.7,43.3,3-3-4,6.0,457,4
2023/01/16,船橋,1,Ｃ３十,1200,ダ,左,良,雨,12,6,7,ワンタイム,牝,4,54.0,393,0,西村栄,玉井勝,,9.0,1:21.9,41.6,10-10-10,7.0,393,0
2023/01/16,船橋,1,Ｃ３十,1200,ダ,左,良,雨,12,7,9,コルテオ,牝,4,54.0,463,0,中越琉,田島寿,,10.0,1:23.0,44.4,2-4-7,9.0,463,0
2023/01/16,船橋,1,Ｃ３十,1200,ダ,左,良,雨,12,7,10,ソルダーシップ,牝,9,54.0,423,-4,田中力,森　始,,11.0,1:23.3,42.2,12-12-12,11.0,423,-4
2023/01/16,船橋,1,Ｃ３十,1200,ダ,左,良,雨,12,8,11,マーブルキャンディ,牝,4,54.0,371,-11,高橋利,矢内博,,12.0,1:23.9,43.2,11-11-11,12.0,371,-11
2023/01/16,船橋,2,シャスターデイジー賞３歳二 三,1200,ダ,左,良,雨,7,3,3,ロッソナブア,牡,3,56.0,517,7,御神訓,川島一,,1.0,1:16.3,38.5,1-1-1,2.0,517,7
2023/01/16,船橋,2,シャスターデイジー賞３歳二 三,1200,ダ,左,良,雨,7,4,4,ノットソーリッチ,牡,3,56.0,487,-6,川島正,佐藤太,,2.0,1:16.9,38.7,3-4-4,1.0,487,-6
2023/01/16,船橋,2,シャスターデイジー賞３歳二 三,1200,ダ,左,良,雨,7,2,2,リュウノアスラーム,牝,3,54.0,459,1,森泰斗,齊藤敏,,3.0,1:17.4,39.3,4-3-2,5.0,459,1
2023/01/16,船橋,2,シャスターデイジー賞３歳二 三,1200,ダ,左,良,雨,7,6,6,ゴーストバスター,牡,3,56.0,532,15,庄司大,張田京,,4.0,1:17.6,38.9,6-7-6,4.0,532,15
2023/01/16,船橋,2,シャスターデイジー賞３歳二 三,1200,ダ,左,良,雨,7,1,1,アクセルオーソ,牡,3,56.0,516,-15,町田直,坂本昇,,5.0,1:18.3,39.9,7-5-5,3.0,516,-15
2023/01/16,船橋,2,シャスターデイジー賞３歳二 三,1200,ダ,左,良,雨,7,7,7,オリエンタルラニ,牝,3,54.0,444,1,内田利,佐々功,,6.0,1:19.4,40.9,5-6-7,6.0,444,1
2023/01/16,船橋,2,シャスターデイジー賞３歳二 三,1200,ダ,左,良,雨,7,5,5,ピカンチダブル,牝,3,53.0,439,-5,野畑凌,新井清,,7.0,1:20.2,42.3,2-2-3,7.0,439,-5
2023/01/16,船橋,3,Ｃ３六 七,1500,ダ,左,良,雨,12,4,4,レイバックターン,セ,0,55.0,464,0,新原周,渡邊貴,,1.0,1:41.2,41.9,7-6-6-5,4.0,464,0
2023/01/16,船橋,3,Ｃ３六 七,1500,ダ,左,良,雨,12,3,3,グローリアスボレロ,牝,7,54.0,500,22,本橋孝,新井清,,2.0,1:41.5,43.3,1-1-1-1,1.0,500,22
2023/01/16,船橋,3,Ｃ３六 七,1500,ダ,左,良,雨,12,7,10,サンディロン,牝,6,54.0,452,4,御神訓,新井清,,3.0,1:41.7,42.9,5-5-3-2,3.0,452,4
2023/01/16,船橋,3,Ｃ３六 七,1500,ダ,左,良,雨,12,5,6,ガッサンノリュウ,牡,7,56.0,429,1,澤田龍,矢野義,,4.0,1:41.8,42.2,9-10-10-7,7.0,429,1
2023/01/16,船橋,3,Ｃ３六 七,1500,ダ,左,良,雨,12,2,2,エリートバイオ,牡,6,55.0,481,-2,池谷匠,山崎尋,,5.0,1:42.0,43.1,3-3-5-3,8.0,481,-2
2023/01/16,船橋,3,Ｃ３六 七,1500,ダ,左,良,雨,12,8,11,クリノクークラン,牡,4,55.0,454,-7,野畑凌,高月賢,,6.0,1:42.0,42.4,8-8-8-10,2.0,454,-7
2023/01/16,船橋,3,Ｃ３六 七,1500,ダ,左,良,雨,12,6,8,クラウンデフィート,牡,6,56.0,501,3,石崎駿,石井勝,,7.0,1:42.3,42.7,10-9-9-6,6.0,501,3
2023/01/16,船橋,3,Ｃ３六 七,1500,ダ,左,良,雨,12,7,9,ゴッドデサフィオ,牡,5,56.0,435,-1,臼井健,凾館一,,8.0,1:42.7,43.3,6-7-7-9,9.0,435,-1
