race_date,venue,race_no,race_name,distance,surface,direction,track_cond,weather,field_size,waku,horse_no,horse_name,sex,age,weight_carried,horse_weight,weight_change,jockey,trainer,win_odds,finish_position,finish_time,last_3f,passage_rate,popularity,result_weight,result_weight_change
2023/01/23,大井,1,Ｃ３九,1200,ダ,右,良,雨,16,4,7,フォーモサルビー,牝,4,54.0,467,0,吉井章,高岩孝,,1,1:14.6,38.7,2-2,1,467,0
2023/01/23,大井,1,Ｃ３九,1200,ダ,右,良,雨,16,6,11,スピーディパイン,牡,4,56.0,444,0,高橋昭,立花伸,,2,1:15.9,39.0,8-8,11,444,0
2023/01/23,大井,1,Ｃ３九,1200,ダ,右,良,雨,16,2,4,スクランブル,牡,5,56.0,452,-2,瀬川将,月岡健,,3,1:16.0,39.7,4-3,2,452,-2
2023/01/23,大井,1,Ｃ３九,1200,ダ,右,良,雨,16,3,5,ナザールボンジュ,牡,4,56.0,465,3,千田洋,吉井竜,,4,1:16.1,39.6,5-5,15,465,3
2023/01/23,大井,1,Ｃ３九,1200,ダ,右,良,雨,16,1,2,カリスマイチダイ,牝,7,54.0,468,5,和田譲,的場直,,5,1:16.3,40.4,1-1,3,468,5
2023/01/23,大井,1,Ｃ３九,1200,ダ,右,良,雨,16,7,13,エックスフレア,牡,4,56.0,513,-12,安藤洋,高橋清,,6,1:16.6,40.3,3-4,7,513,-12
2023/01/23,大井,1,Ｃ３九,1200,ダ,右,良,雨,16,5,10,リスタート,牝,4,54.0,470,7,藤本現,吉井竜,,7,1:16.6,39.8,7-7,10,470,7
2023/01/23,大井,1,Ｃ３九,1200,ダ,右,良,雨,16,1,1,コスモヴィテス,牡,5,56.0,459,2,山林信,佐々忠,,8,1:16.7,38.1,13-13,8,459,2
2023/01/23,大井,1,Ｃ３九,1200,ダ,右,良,雨,16,8,15,ヤマトホープシップ,牝,6,50.0,476,4,小林捺,久保隆,,9,1:16.7,39.4,10-11,9,476,4
2023/01/23,大井,1,Ｃ３九,1200,ダ,右,良,雨,16,2,3,セクシーマインド,牝,4,54.0,444,2,町田直,上杉昌,,10,1:16.8,38.6,12-12,14,444,2
2023/01/23,大井,1,Ｃ３九,1200,ダ,右,良,雨,16,4,8,リュウワンオレッチ,牡,4,56.0,492,4,中村尚,庄子昭,,11,1:16.8,39.6,9-9,13,492,4
2023/01/23,大井,1,Ｃ３九,1200,ダ,右,良,雨,16,5,9,ブルーフェアリー,牝,7,53.0,442,17,野畑凌,高岩孝,,12,1:16.8,40.2,6-6,4,442,17
2023/01/23,大井,1,Ｃ３九,1200,ダ,右,良,雨,16,8,16,ユウユウトシキ,牡,4,56.0,487,7,山中悠,阪本一,,13,1:17.8,40.4,11-10,12,487,7
2023/01/23,大井,1,Ｃ３九,1200,ダ,右,良,雨,16,6,12,トップタルマエ,牡,4,55.0,492,4,菅原涼,橋本馬,,14,1:18.0,38.8,14-14,6,492,4
2023/01/23,大井,1,Ｃ３九,1200,ダ,右,良,雨,16,7,14,ハヤブサクイーン,牝,4,54.0,432,5,本村直,高岩孝,,15,1:18.1,38.8,15-14,16,432,5
2023/01/23,大井,1,Ｃ３九,1200,ダ,右,良,雨,16,3,6,ブレイクポイント,牡,4,56.0,0,0,達城龍,佐宗応,,16,1:22.2,41.5,16-16,5,0,0
2023/01/23,大井,2,３歳選抜牝馬,1400,ダ,右,良,曇,10,7,8,ジョリーハーモニー,牝,3,54.0,489,-15,安藤洋,的場直,,1,1:29.3,38.6,1-1-1,5,489,-15
2023/01/23,大井,2,３歳選抜牝馬,1400,ダ,右,良,曇,10,4,4,ペルシアンローズ,牝,3,54.0,466,-8,森泰斗,渡邉和,,2,1:30.2,39.4,3-2-2,2,466,-8
2023/01/23,大井,2,３歳選抜牝馬,1400,ダ,右,良,曇,10,5,5,チェンテナリオ,牝,3,54.0,431,-1,町田直,宗形竹,,3,1:30.9,39.9,9-4-4,4,431,-1
2023/01/23,大井,2,３歳選抜牝馬,1400,ダ,右,良,曇,10,7,7,マオノイリゼ,牝,3,53.0,425,-9,菅原涼,橋本馬,,4,1:30.9,39.5,5-6-6,3,425,-9
2023/01/23,大井,2,３歳選抜牝馬,1400,ダ,右,良,曇,10,8,10,ルージュカメリア,牝,3,54.0,425,-5,藤田凌,阪本一,,5,1:31.4,40.0,10-6-7,6,425,-5
2023/01/23,大井,2,３歳選抜牝馬,1400,ダ,右,良,曇,10,2,2,ロンドンブルース,牝,3,54.0,0,0,達城龍,鷹見浩,,6,1:31.5,40.4,4-5-5,1,0,0
2023/01/23,大井,2,３歳選抜牝馬,1400,ダ,右,良,曇,10,1,1,ルレット,牝,3,51.0,456,-1,室陽一,小野晋,,7,1:31.6,39.1,8-10-10,10,456,-1
2023/01/23,大井,2,３歳選抜牝馬,1400,ダ,右,良,曇,10,3,3,オフトン,牝,3,54.0,431,-9,千田洋,村上頼,,7,1:31.6,40.1,7-8-8,8,431,-9
2023/01/23,大井,2,３歳選抜牝馬,1400,ダ,右,良,曇,10,6,6,ヤマジュンアジアン,牝,3,50.0,0,0,中島良,高野毅,,9,1:32.0,40.3,6-9-9,7,0,0
2023/01/23,大井,2,３歳選抜牝馬,1400,ダ,右,良,曇,10,8,9,アセットミューズ,牝,3,54.0,393,-7,藤本現,蛯名雄,,10,1:32.2,41.3,2-3-3,9,393,-7
2023/01/23,大井,3,３歳選抜牝馬,1200,ダ,右,良,曇,12,7,9,ジンガノ,牝,3,54.0,491,-3,森泰斗,荒山勝,,1,1:14.6,38.7,2-2,1,491,-3
2023/01/23,大井,3,３歳選抜牝馬,1200,ダ,右,良,曇,12,7,10,フェアリープレスト,牝,3,54.0,0,0,藤本現,藤田輝,,2,1:15.2,38.7,6-6,2,0,0
2023/01/23,大井,3,３歳選抜牝馬,1200,ダ,右,良,曇,12,1,1,クライトゥナイト,牝,3,54.0,0,0,千田洋,渡邉和,,3,1:16.0,40.2,1-1,3,0,0
2023/01/23,大井,3,３歳選抜牝馬,1200,ダ,右,良,曇,12,6,7,ドンナドンナ,牝,3,51.0,0,0,田中洸,橋本馬,,4,1:16.3,40.2,3-3,4,0,0
2023/01/23,大井,3,３歳選抜牝馬,1200,ダ,右,良,曇,12,5,5,アエノプロミネンス,牝,3,54.0,448,1,岡村健,大宮和,,5,1:16.7,40.2,6-7,8,448,1
2023/01/23,大井,3,３歳選抜牝馬,1200,ダ,右,良,曇,12,8,12,フロリダフォンテン,牝,3,54.0,408,-14,瀬川将,井上弘,,6,1:16.8,40.5,5-4,5,408,-14
2023/01/23,大井,3,３歳選抜牝馬,1200,ダ,右,良,曇,12,4,4,レジェンドライン,牝,3,54.0,429,-16,本橋孝,高橋清,,7,1:16.9,38.8,10-10,6,429,-16
2023/01/23,大井,3,３歳選抜牝馬,1200,ダ,右,良,曇,12,5,6,チバリヨー,牝,3,54.0,430,-16,内田利,堀江仁,,8,1:17.8,40.1,9-9,9,430,-16
2023/01/23,大井,3,３歳選抜牝馬,1200,ダ,右,良,曇,12,8,11,ランザン,牝,3,53.0,441,-3,仲原大,高野毅,,9,1:18.3,41.0,8-8,12,441,-3
2023/01/23,大井,3,３歳選抜牝馬,1200,ダ,右,良,曇,12,6,8,イーブンモア,牝,3,51.0,0,0,谷内貫,赤嶺本,,10,1:18.5,39.0,12-12,10,0,0
2023/01/23,大井,3,３歳選抜牝馬,1200,ダ,右,良,曇,12,3,3,ミスヒカリ,牝,3,54.0,0,0,石川駿,中道啓,,11,1:18.7,42.5,4-4,7,0,0
2023/01/23,大井,3,３歳選抜牝馬,1200,ダ,右,良,曇,12,2,2,サトマキコバコミ,牝,3,51.0,475,-6,室陽一,小野晋,,12,1:19.4,40.7,11-11,11,475,-6
2023/01/23,大井,4,北沢川賞３歳２４万円以下,1400,ダ,右,良,曇,13,3,3,カイロメッセージ,牡,3,56.0,0,0,矢野貴,森下淳,,1,1:30.1,38.8,7-5-3,1,0,0
2023/01/23,大井,4,北沢川賞３歳２４万円以下,1400,ダ,右,良,曇,13,1,1,エゴラッピング,牡,3,56.0,0,0,笹川翼,荒山勝,,2,1:30.6,39.5,1-1-1,2,0,0
2023/01/23,大井,4,北沢川賞３歳２４万円以下,1400,ダ,右,良,曇,13,6,8,ウィンストラテジー,牡,3,56.0,541,6,藤本現,蛯名雄,,3,1:30.8,39.6,3-3-2,4,541,6
2023/01/23,大井,4,北沢川賞３歳２４万円以下,1400,ダ,右,良,曇,13,4,5,ビッグモーメント,牡,3,56.0,513,-4,藤田凌,藤田輝,,4,1:31.0,39.6,6-6-5,3,513,-4
2023/01/23,大井,4,北沢川賞３歳２４万円以下,1400,ダ,右,良,曇,13,7,10,マーシャン,牡,3,56.0,0,0,本田重,森下淳,,5,1:31.2,39.7,7-7-7,5,0,0
2023/01/23,大井,4,北沢川賞３歳２４万円以下,1400,ダ,右,良,曇,13,8,12,シンティリオ,牡,3,56.0,482,3,達城龍,鈴木啓,,6,1:31.3,39.2,7-10-9,6,482,3
2023/01/23,大井,4,北沢川賞３歳２４万円以下,1400,ダ,右,良,曇,13,5,7,ラブリーハルアキ,牡,3,56.0,0,0,安藤洋,高橋清,,7,1:32.2,41.0,2-2-4,7,0,0
2023/01/23,大井,4,北沢川賞３歳２４万円以下,1400,ダ,右,良,曇,13,4,4,タカイチタルマエ,牡,3,56.0,524,4,岡村健,市村誠,,8,1:32.6,40.8,11-8-8,8,524,4
2023/01/23,大井,4,北沢川賞３歳２４万円以下,1400,ダ,右,良,曇,13,5,6,マッチャンファイト,牡,3,56.0,445,5,石川駿,村上頼,,9,1:32.6,39.7,12-13-13,11,445,5
2023/01/23,大井,4,北沢川賞３歳２４万円以下,1400,ダ,右,良,曇,13,6,9,シンゼンドラゴン,牡,3,56.0,437,-5,中村尚,中道啓,,10,1:32.9,41.7,5-4-6,12,437,-5
2023/01/23,大井,4,北沢川賞３歳２４万円以下,1400,ダ,右,良,曇,13,8,13,アリゾナスカイ,牡,3,56.0,0,0,千田洋,渡邉和,,11,1:33.3,41.2,10-11-10,9,0,0
2023/01/23,大井,4,北沢川賞３歳２４万円以下,1400,ダ,右,良,曇,13,7,11,ホクトシュンシュン,牡,3,56.0,514,9,遠藤健,岡野尚,,12,1:34.5,42.2,13-12-12,10,514,9
2023/01/23,大井,4,北沢川賞３歳２４万円以下,1400,ダ,右,良,曇,13,2,2,モントシャルマン,牡,3,53.0,520,-9,谷内貫,嶋田幸,,13,1:36.6,44.6,4-9-11,13,520,-9
2023/01/23,大井,5,３歳２４万円以下,1200,ダ,右,良,曇,11,4,4,ラバテラリュージュ,牡,3,56.0,524,-2,和田譲,佐野謙,,1,1:15.4,38.4,4-4,2,524,-2
2023/01/23,大井,5,３歳２４万円以下,1200,ダ,右,良,曇,11,8,10,ロデオスター,牡,3,56.0,0,0,笹川翼,森下淳,,2,1:15.6,38.9,3-3,1,0,0
2023/01/23,大井,5,３歳２４万円以下,1200,ダ,右,良,曇,11,1,1,イチモクサン,セ,0,55.0,445,-2,菅原涼,堀江仁,,3,1:15.8,38.5,5-5,7,445,-2
2023/01/23,大井,5,３歳２４万円以下,1200,ダ,右,良,曇,11,7,8,ボイド,牡,3,56.0,467,-8,安藤洋,橋本馬,,4,1:16.1,39.5,1-1,4,467,-8
2023/01/23,大井,5,３歳２４万円以下,1200,ダ,右,良,曇,11,8,11,レフトアローン,牡,3,56.0,444,-20,西啓太,堀千亜,,5,1:16.5,39.1,6-6,10,444,-20
2023/01/23,大井,5,３歳２４万円以下,1200,ダ,右,良,曇,11,2,2,プリンシパルアクト,牡,3,56.0,508,-11,矢野貴,的場直,,6,1:16.9,40.3,2-1,3,508,-11
2023/01/23,大井,5,３歳２４万円以下,1200,ダ,右,良,曇,11,5,5,カミノアスール,牡,3,56.0,0,0,藤本現,蛯名雄,,7,1:17.1,39.3,8-7,5,0,0
2023/01/23,大井,5,３歳２４万円以下,1200,ダ,右,良,曇,11,7,9,ウルツァイト,牡,3,56.0,516,25,達城龍,的場直,,8,1:17.1,39.1,9-9,6,516,25
2023/01/23,大井,5,３歳２４万円以下,1200,ダ,右,良,曇,11,6,7,ビッグナアシタ,セ,0,55.0,452,3,新原周,中道啓,,9,1:17.4,39.6,7-8,9,452,3
2023/01/23,大井,5,３歳２４万円以下,1200,ダ,右,良,曇,11,3,3,ミワテツニゴー,牡,3,53.0,0,0,谷内貫,佐々忠,,10,1:20.2,41.6,10-10,11,0,0
2023/01/23,大井,5,３歳２４万円以下,1200,ダ,右,良,曇,11,6,6,フォーコ,牡,3,56.0,456,6,藤田凌,堀千亜,,11,1:20.7,40.7,11-11,8,456,6
2023/01/23,大井,6,Ｃ２十三 十四 十五,1600,ダ,右,良,曇,14,2,2,イーサンカレラ,牡,4,56.0,462,2,藤本現,鷹見浩,,1,1:44.0,39.6,2-3-4-4,12,462,2
2023/01/23,大井,6,Ｃ２十三 十四 十五,1600,ダ,右,良,曇,14,3,3,シャンパンドバイ,牡,4,56.0,491,7,吉井章,松浦裕,,2,1:44.2,40.0,1-1-1-1,2,491,7
2023/01/23,大井,6,Ｃ２十三 十四 十五,1600,ダ,右,良,曇,14,8,14,ママズコフィ,牝,5,54.0,462,0,張田昂,三坂盛,,3,1:44.4,39.0,14-14-13-12,7,462,0
2023/01/23,大井,6,Ｃ２十三 十四 十五,1600,ダ,右,良,曇,14,7,11,タロマイスター,牡,4,56.0,503,6,和田譲,高野毅,,4,1:44.8,40.6,7-6-3-3,1,503,6
2023/01/23,大井,6,Ｃ２十三 十四 十五,1600,ダ,右,良,曇,14,1,1,ポシーブレ,牡,7,55.0,467,4,菅原涼,堀江仁,,5,1:44.9,40.0,8-8-9-10,5,467,4
2023/01/23,大井,6,Ｃ２十三 十四 十五,1600,ダ,右,良,曇,14,4,6,ハタノラトゥール,牡,4,56.0,503,1,町田直,小野晋,,6,1:45.1,40.7,9-9-7-5,3,503,1
2023/01/23,大井,6,Ｃ２十三 十四 十五,1600,ダ,右,良,曇,14,4,5,プナヘレ,牡,5,56.0,488,4,安藤洋,的場直,,7,1:45.1,40.1,11-11-12-13,9,488,4
2023/01/23,大井,6,Ｃ２十三 十四 十五,1600,ダ,右,良,曇,14,8,13,サツキジャスミン,牝,6,54.0,464,6,藤田凌,庄子昭,,8,1:45.5,41.3,5-4-2-2,6,464,6
2023/01/23,大井,6,Ｃ２十三 十四 十五,1600,ダ,右,良,曇,14,5,8,シャドウワルツ,牡,6,56.0,432,-4,松崎正,久保信,,9,1:45.5,40.0,12-13-14-14,10,432,-4
2023/01/23,大井,6,Ｃ２十三 十四 十五,1600,ダ,右,良,曇,14,3,4,ショーンヘイティ,牡,4,55.0,506,-4,仲原大,久保隆,,10,1:45.7,41.3,4-5-8-6,13,506,-4
2023/01/23,大井,6,Ｃ２十三 十四 十五,1600,ダ,右,良,曇,14,7,12,ピエナケープ,セ,0,55.0,460,-1,新原周,田中人,,11,1:45.9,41.0,13-12-11-10,8,460,-1
2023/01/23,大井,6,Ｃ２十三 十四 十五,1600,ダ,右,良,曇,14,6,9,ダンスマティス,牡,6,56.0,553,3,江里裕,朝倉実,,12,1:46.3,41.8,6-7-6-7,4,553,3
2023/01/23,大井,6,Ｃ２十三 十四 十五,1600,ダ,右,良,曇,14,6,10,フェアメーゲン,牝,5,51.0,451,6,谷内貫,大宮和,,13,1:46.4,41.8,9-10-10-9,14,451,6
2023/01/23,大井,6,Ｃ２十三 十四 十五,1600,ダ,右,良,曇,14,5,7,ジャイアントジョイ,牡,4,56.0,547,20,山崎誠,米田英,,14,1:48.5,44.3,3-2-5-8,11,547,20
2023/01/23,大井,7,Ｃ２十三 十四 十五,1400,ダ,右,良,曇,14,7,12,エスプリアラジン,牡,5,56.0,505,6,矢野貴,澤佳宏,,1,1:27.5,37.3,2-2-2,2,505,6
2023/01/23,大井,7,Ｃ２十三 十四 十五,1400,ダ,右,良,曇,14,3,4,ダイコクテン,牡,4,56.0,564,-5,笹川翼,的場直,,2,1:27.5,37.5,1-1-1,1,564,-5
2023/01/23,大井,7,Ｃ２十三 十四 十五,1400,ダ,右,良,曇,14,5,7,アビレ,牝,5,54.0,462,4,御神訓,吉井竜,,3,1:28.8,38.2,4-4-4,3,462,4
2023/01/23,大井,7,Ｃ２十三 十四 十五,1400,ダ,右,良,曇,14,3,3,マリアッチ,牡,5,55.0,504,-1,仲原大,辻野豊,,4,1:29.1,37.6,10-12-12,6,504,-1
2023/01/23,大井,7,Ｃ２十三 十四 十五,1400,ダ,右,良,曇,14,6,10,マルヨソウタ,牡,5,56.0,515,1,千田洋,村上頼,,5,1:29.1,38.1,7-9-8,7,515,1
2023/01/23,大井,7,Ｃ２十三 十四 十五,1400,ダ,右,良,曇,14,4,5,オーシンアズキ,牡,4,56.0,475,2,西啓太,朝倉実,,6,1:29.1,38.3,7-7-5,4,475,2
2023/01/23,大井,7,Ｃ２十三 十四 十五,1400,ダ,右,良,曇,14,7,11,リアルファンタジア,牝,4,54.0,459,-1,藤田凌,佐々洋,,7,1:30.0,39.2,6-5-6,14,459,-1
2023/01/23,大井,7,Ｃ２十三 十四 十五,1400,ダ,右,良,曇,14,5,8,クラム,牝,4,51.0,474,-3,谷内貫,渡邉和,,8,1:30.2,39.0,11-11-11,12,474,-3
2023/01/23,大井,7,Ｃ２十三 十四 十五,1400,ダ,右,良,曇,14,6,9,ハイレジリエンス,牡,5,56.0,491,-5,和田譲,宗形竹,,9,1:30.3,39.1,12-10-9,5,491,-5
2023/01/23,大井,7,Ｃ２十三 十四 十五,1400,ダ,右,良,曇,14,8,13,ハクアイアトム,牡,5,56.0,487,7,本橋孝,松浦裕,,10,1:30.4,40.1,3-3-3,10,487,7
