race_date,venue,race_no,race_name,distance,surface,direction,track_cond,weather,field_size,waku,horse_no,horse_name,sex,age,weight_carried,horse_weight,weight_change,jockey,trainer,win_odds,finish_position,finish_time,last_3f,passage_rate,popularity,result_weight,result_weight_change
2026/05/11,川崎,1,３歳６,1400,ダ,左,良,晴,12,6,8,パワポケカノン,牡,3,56.0,471,2,古岡勇,山崎裕,1.5,1,1:31.7,39.0,9-8-5-2,1,471,2
2026/05/11,川崎,1,３歳６,1400,ダ,左,良,晴,12,5,5,ナイスキック,牝,3,54.0,485,15,野畑凌,茂木浩,2.3,2,1:32.4,40.5,1-1-1-1,2,485,15
2026/05/11,川崎,1,３歳６,1400,ダ,左,良,晴,12,1,1,エムブイピーコール,牝,3,54.0,430,1,福原杏,川村守,156.0,3,1:33.3,41.0,5-5-5-5,11,430,1
2026/05/11,川崎,1,３歳６,1400,ダ,左,良,晴,12,8,11,ハマウルフ,牡,3,56.0,470,2,木間龍,田島寿,104.1,4,1:33.6,41.5,4-4-1-2,8,470,2
2026/05/11,川崎,1,３歳６,1400,ダ,左,良,晴,12,5,6,ティンガティンガ,セ,0,56.0,399,-5,櫻井光,佐藤博,117.9,5,1:34.3,42.2,1-1-1-2,10,399,-5
2026/05/11,川崎,1,３歳６,1400,ダ,左,良,晴,12,3,3,ラヴィッジ,牡,3,56.0,483,1,藤本現,内田勝,75.8,6,1:34.3,41.3,11-11-10-11,7,483,1
2026/05/11,川崎,1,３歳６,1400,ダ,左,良,晴,12,4,4,ガラデラパンテラ,牡,3,56.0,506,29,佐野遥,鈴木義,58.6,7,1:34.5,41.5,9-10-10-9,6,506,29
2026/05/11,川崎,1,３歳６,1400,ダ,左,良,晴,12,7,9,テンザンパパ,牡,3,56.0,444,4,新原周,内田勝,204.3,8,1:34.6,41.0,12-12-12-11,12,444,4
2026/05/11,川崎,1,３歳６,1400,ダ,左,良,晴,12,2,2,テンノウズアイル,牝,3,54.0,421,-13,町田直,田島寿,35.2,9,1:34.7,42.2,6-5-7-7,5,421,-13
2026/05/11,川崎,1,３歳６,1400,ダ,左,良,晴,12,6,7,ユウヤケコヤケ,牝,3,54.0,448,-4,伊藤裕,宇野博,116.5,10,1:35.5,42.8,8-8-9-8,9,448,-4
2026/05/11,川崎,1,３歳６,1400,ダ,左,良,晴,12,8,12,アオイノコスメ,牝,3,54.0,493,-3,和田譲,山崎裕,24.4,11,1:35.6,43.1,6-5-7-9,4,493,-3
2026/05/11,川崎,1,３歳６,1400,ダ,左,良,晴,12,7,10,ショックザワールド,牡,3,56.0,483,5,西啓太,山崎尋,23.6,12,1:35.8,43.7,1-1-1-5,3,483,5
2026/05/11,川崎,2,３歳５,1400,ダ,左,良,晴,10,3,3,ミスターベラミー,牡,3,56.0,455,2,櫻井光,山崎尋,12.0,1,1:32.3,39.8,1-1-1-1,5,455,2
2026/05/11,川崎,2,３歳５,1400,ダ,左,良,晴,10,5,5,アンジュベル,牝,3,54.0,450,3,野畑凌,高橋宏,4.8,2,1:32.6,39.9,2-2-2-2,2,450,3
2026/05/11,川崎,2,３歳５,1400,ダ,左,良,晴,10,4,4,ドナエポナ,牝,3,54.0,420,-3,岡村健,長友豊,45.0,3,1:33.1,39.9,6-6-7-4,8,420,-3
2026/05/11,川崎,2,３歳５,1400,ダ,左,良,晴,10,8,10,ワイルドスマッシュ,牡,3,56.0,477,-5,町田直,山崎尋,1.7,4,1:33.2,40.5,2-2-2-4,1,477,-5
2026/05/11,川崎,2,３歳５,1400,ダ,左,良,晴,10,7,8,ベアトゥース,セ,0,56.0,454,-7,和田譲,古澤悟,5.7,5,1:33.2,40.3,4-4-4-3,3,454,-7
2026/05/11,川崎,2,３歳５,1400,ダ,左,良,晴,10,6,6,リュウノアーチスト,牝,3,54.0,464,5,新原周,山崎尋,42.7,6,1:33.4,40.0,8-8-9-6,7,464,5
2026/05/11,川崎,2,３歳５,1400,ダ,左,良,晴,10,1,1,フジパスカル,牡,3,53.0,495,4,杉山海,佐藤博,22.2,7,1:34.0,40.6,9-8-9-8,6,495,4
2026/05/11,川崎,2,３歳５,1400,ダ,左,良,晴,10,2,2,グアピシマ,牝,3,54.0,415,-3,福原杏,古澤悟,11.8,8,1:34.3,41.1,9-10-7-10,4,415,-3
2026/05/11,川崎,2,３歳５,1400,ダ,左,良,晴,10,7,7,イノセントブレイヴ,牡,3,56.0,431,4,伊藤裕,佐藤博,246.9,9,1:34.8,41.7,6-6-4-8,10,431,4
2026/05/11,川崎,2,３歳５,1400,ダ,左,良,晴,10,8,9,ヨミイ,牝,3,51.0,385,0,加藤雄,河津裕,53.3,10,1:35.0,41.9,4-4-4-6,9,385,0
2026/05/11,川崎,3,リュフトヒエン賞３歳未格付選定馬,900,ダ,左,良,晴,12,7,10,フエルテコラソン,牝,3,54.0,457,0,川島正,佐々仁,3.2,1,0:54.8,37.4,1-1-1,2,457,0
2026/05/11,川崎,3,リュフトヒエン賞３歳未格付選定馬,900,ダ,左,良,晴,12,1,1,アースファング,牡,3,56.0,467,-1,保園翔,箕輪武,1.5,2,0:55.3,37.5,3-5-3,1,467,-1
2026/05/11,川崎,3,リュフトヒエン賞３歳未格付選定馬,900,ダ,左,良,晴,12,4,4,ロックマイソウル,牡,3,55.0,471,3,野畑凌,山田質,10.3,3,0:55.8,38.3,2-2-2,3,471,3
2026/05/11,川崎,3,リュフトヒエン賞３歳未格付選定馬,900,ダ,左,良,晴,12,5,5,ディーズメソッド,牝,3,54.0,488,-5,池谷匠,内田勝,83.9,4,0:56.3,38.6,3-3-4,8,488,-5
2026/05/11,川崎,3,リュフトヒエン賞３歳未格付選定馬,900,ダ,左,良,晴,12,5,6,ポンドリップ,牝,3,53.0,432,-12,中越琉,佐藤博,50.8,5,0:56.5,38.2,9-7-7,7,432,-12
2026/05/11,川崎,3,リュフトヒエン賞３歳未格付選定馬,900,ダ,左,良,晴,12,7,9,コグマザセカンド,牝,3,54.0,426,-7,七夕裕,宇野博,116.2,6,0:56.5,38.5,6-5-7,9,426,-7
2026/05/11,川崎,3,リュフトヒエン賞３歳未格付選定馬,900,ダ,左,良,晴,12,6,8,イアソン,牡,3,56.0,447,3,藤江渉,山田質,15.9,7,0:57.0,38.5,9-10-9,4,447,3
2026/05/11,川崎,3,リュフトヒエン賞３歳未格付選定馬,900,ダ,左,良,晴,12,2,2,プレストジャンヌ,牝,3,51.0,417,4,所　蛍,高橋宏,18.1,8,0:57.1,38.9,6-7-5,5,417,4
