race_date,venue,race_no,race_name,distance,surface,direction,track_cond,weather,field_size,waku,horse_no,horse_name,sex,age,weight_carried,horse_weight,weight_change,jockey,trainer,win_odds,finish_position,finish_time,last_3f,passage_rate,popularity,result_weight,result_weight_change
2024/04/17,門別,1,３歳条件　未勝利,1000,ダ,右,良,曇,8,4,4,カリビアンスマイル,牝,3,55.0,480,24,黒澤愛,村上正,,1,1:02.8,38.3,1-1,1,480,24
2024/04/17,門別,1,３歳条件　未勝利,1000,ダ,右,良,曇,8,7,7,ブラックモア,牡,3,57.0,500,10,桑村真,石本孝,,2,1:03.1,38.5,2-2,6,500,10
2024/04/17,門別,1,３歳条件　未勝利,1000,ダ,右,良,曇,8,3,3,ファイヤーボール,セ,0,57.0,462,10,阪野学,田中正,,3,1:03.1,37.8,6-6,2,462,10
2024/04/17,門別,1,３歳条件　未勝利,1000,ダ,右,良,曇,8,5,5,ガリグラス,セ,0,57.0,0,0,石川倭,小国博,,4,1:03.4,38.5,3-3,3,0,0
2024/04/17,門別,1,３歳条件　未勝利,1000,ダ,右,良,曇,8,6,6,ビジューメファ,牝,3,55.0,412,4,服部茂,佐々国,,5,1:03.8,38.4,8-4,5,412,4
2024/04/17,門別,1,３歳条件　未勝利,1000,ダ,右,良,曇,8,1,1,サラセブン,牝,3,55.0,458,12,小野楓,小野望,,6,1:04.6,39.4,4-6,4,458,12
2024/04/17,門別,1,３歳条件　未勝利,1000,ダ,右,良,曇,8,2,2,シャンセレナーデ,牝,3,55.0,416,-12,岩橋勇,桧森邦,,7,1:05.4,40.1,6-6,8,416,-12
2024/04/17,門別,1,３歳条件　未勝利,1000,ダ,右,良,曇,8,8,8,リコークルセーダー,牝,3,53.0,392,-8,宮内勇,川島雅,,8,1:05.4,40.3,4-5,7,392,-8
2024/04/17,門別,2,３歳条件　未勝利,1000,ダ,右,良,曇,9,8,9,スレイプナー,牝,3,55.0,452,20,阪野学,田中正,,1,1:02.0,37.7,1-1,2,452,20
2024/04/17,門別,2,３歳条件　未勝利,1000,ダ,右,良,曇,9,8,8,ハナカンザシ,牝,3,55.0,450,20,亀井洋,齊藤正,,2,1:02.8,38.3,2-2,5,450,20
2024/04/17,門別,2,３歳条件　未勝利,1000,ダ,右,良,曇,9,6,6,ゴールデンアイル,牝,3,53.0,430,-4,宮内勇,黒川智,,3,1:02.8,38.1,4-4,4,430,-4
2024/04/17,門別,2,３歳条件　未勝利,1000,ダ,右,良,曇,9,4,4,エピタキシー,牡,3,57.0,464,2,阿部龍,角川秀,,4,1:02.9,38.2,3-3,1,464,2
2024/04/17,門別,2,３歳条件　未勝利,1000,ダ,右,良,曇,9,3,3,クロイバラ,牝,3,55.0,424,-7,黒澤愛,佐藤英,,5,1:03.5,37.7,8-8,6,424,-7
2024/04/17,門別,2,３歳条件　未勝利,1000,ダ,右,良,曇,9,5,5,リコーレオパルド,牝,3,53.0,444,-2,阿岸潤,森山雄,,6,1:03.7,39.0,4-5,3,444,-2
2024/04/17,門別,2,３歳条件　未勝利,1000,ダ,右,良,曇,9,1,1,スティールジェーン,牝,3,55.0,400,-15,岩橋勇,秋田大,,7,1:04.2,37.9,9-9,9,400,-15
2024/04/17,門別,2,３歳条件　未勝利,1000,ダ,右,良,曇,9,7,7,エクラエル,牝,3,55.0,500,24,小野楓,小野望,,8,1:06.7,42.0,4-5,8,500,24
2024/04/17,門別,2,３歳条件　未勝利,1000,ダ,右,良,曇,9,2,2,トンチャン,牝,3,55.0,0,0,井上俊,佐々国,,9,1:07.2,42.2,7-7,7,0,0
