race_date,venue,race_no,race_name,distance,surface,direction,track_cond,weather,field_size,waku,horse_no,horse_name,sex,age,weight_carried,horse_weight,weight_change,jockey,trainer,win_odds,finish_position,finish_time,last_3f,passage_rate,popularity,result_weight,result_weight_change
2026/01/01,名古屋,1,２０２６　金シャチ　ゴールデンダッＣ３４,920,ダ,右,良,晴,12,4,4,エクメノポリス,牡,4,55.0,512,-16,木之葵,井手慎,,1,0:57.0,36.8,3-1,5,512,-16
2026/01/01,名古屋,1,２０２６　金シャチ　ゴールデンダッＣ３４,920,ダ,右,良,晴,12,5,5,アーマードトラック,牡,4,57.0,0,0,望月洵,藤ケ人,,2,0:57.0,36.9,2-2,3,0,0
2026/01/01,名古屋,1,２０２６　金シャチ　ゴールデンダッＣ３４,920,ダ,右,良,晴,12,8,11,マサユメ,セ,0,57.0,468,-5,塚本征,櫻井今,,3,0:58.2,38.0,1-4,2,468,-5
2026/01/01,名古屋,1,２０２６　金シャチ　ゴールデンダッＣ３４,920,ダ,右,良,晴,12,5,6,スペースリーガ,牡,4,57.0,459,-1,友森翔,塚田隆,,4,0:58.6,37.3,11-7,7,459,-1
2026/01/01,名古屋,1,２０２６　金シャチ　ゴールデンダッＣ３４,920,ダ,右,良,晴,12,6,8,シャインモノリス,牡,4,57.0,457,-3,山田祥,藤ケ男,,5,0:58.9,38.2,5-5,10,457,-3
2026/01/01,名古屋,1,２０２６　金シャチ　ゴールデンダッＣ３４,920,ダ,右,良,晴,12,3,3,シェアト,牡,4,57.0,550,4,細川智,角田輝,,6,0:59.0,38.8,4-3,1,550,4
2026/01/01,名古屋,1,２０２６　金シャチ　ゴールデンダッＣ３４,920,ダ,右,良,晴,12,8,12,モダンレディ,牝,4,55.0,480,0,今井貴,宮本仁,,7,0:59.0,38.3,6-6,6,480,0
2026/01/01,名古屋,1,２０２６　金シャチ　ゴールデンダッＣ３４,920,ダ,右,良,晴,12,6,7,クールマーロウ,牡,4,57.0,437,-9,加藤利,錦見勇,,8,0:59.6,38.1,9-8,12,437,-9
2026/01/01,名古屋,1,２０２６　金シャチ　ゴールデンダッＣ３４,920,ダ,右,良,晴,12,2,2,ワンオールショット,セ,0,57.0,443,2,阪野学,今津勝,,9,0:59.8,38.2,10-9,8,443,2
2026/01/01,名古屋,1,２０２６　金シャチ　ゴールデンダッＣ３４,920,ダ,右,良,晴,12,1,1,マイネルライゼン,牡,4,57.0,409,3,尾崎章,成田明,,10,1:00.4,39.0,8-10,9,409,3
