race_date,venue,race_no,race_name,distance,surface,direction,track_cond,weather,field_size,waku,horse_no,horse_name,sex,age,weight_carried,horse_weight,weight_change,jockey,trainer,win_odds,finish_position,finish_time,last_3f,passage_rate,popularity,result_weight,result_weight_change
2024/01/09,浦和,1,２０２４浦和開幕福始め賞３歳五,1400,ダ,左,良,晴,11,6,7,スモークフレイバー,牡,3,56.0,466,-8,笹川翼,繁田健,,1,1:32.1,38.8,2-2-1-1,1,466,-8
2024/01/09,浦和,1,２０２４浦和開幕福始め賞３歳五,1400,ダ,左,良,晴,11,6,6,サンクラフィーネ,牝,3,54.0,486,-3,森泰斗,野口寛,,2,1:33.1,39.6,4-3-3-2,2,486,-3
2024/01/09,浦和,1,２０２４浦和開幕福始め賞３歳五,1400,ダ,左,良,晴,11,5,5,ライスライス,牝,3,52.0,418,4,室陽一,小澤宏,,3,1:34.6,41.3,1-1-2-3,6,418,4
2024/01/09,浦和,1,２０２４浦和開幕福始め賞３歳五,1400,ダ,左,良,晴,11,4,4,ロトカグラ,牡,3,56.0,469,-9,高橋哲,水野貴,,4,1:34.7,40.0,6-6-5-4,10,469,-9
2024/01/09,浦和,1,２０２４浦和開幕福始め賞３歳五,1400,ダ,左,良,晴,11,7,8,ラストパラダイス,セ,0,56.0,471,1,桑村真,野口孝,,5,1:34.8,40.1,5-5-4-5,5,471,1
2024/01/09,浦和,1,２０２４浦和開幕福始め賞３歳五,1400,ダ,左,良,晴,11,1,1,デイジーキング,牡,3,56.0,519,2,秋元耕,藤原智,,6,1:35.0,39.6,9-10-10-8,3,519,2
2024/01/09,浦和,1,２０２４浦和開幕福始め賞３歳五,1400,ダ,左,良,晴,11,2,2,モリデンパワー,牝,3,54.0,420,1,保園翔,海馬司,,7,1:35.0,39.8,10-11-8-7,7,420,1
2024/01/09,浦和,1,２０２４浦和開幕福始め賞３歳五,1400,ダ,左,良,晴,11,3,3,ランハルト,牡,3,56.0,455,2,吉留孝,薮口一,,8,1:35.1,39.9,7-7-7-6,4,455,2
2024/01/09,浦和,1,２０２４浦和開幕福始め賞３歳五,1400,ダ,左,良,晴,11,8,11,ミシェルエルクール,牝,3,50.0,479,3,中島良,小澤宏,,9,1:36.6,41.9,3-4-6-9,8,479,3
2024/01/09,浦和,1,２０２４浦和開幕福始め賞３歳五,1400,ダ,左,良,晴,11,7,9,アミュレット,牝,3,54.0,417,9,加藤和,川島豊,,10,1:37.0,41.4,8-9-11-10,9,417,9
2024/01/09,浦和,1,２０２４浦和開幕福始め賞３歳五,1400,ダ,左,良,晴,11,8,10,ドケンヤローズ,牝,3,54.0,436,2,見越彬,野口孝,,11,1:37.2,42.2,11-8-9-11,11,436,2
2024/01/09,浦和,2,ランチタイムチャレンジＣ３五 六,1400,ダ,左,良,晴,12,6,8,ユアソーラ,セ,0,56.0,456,-12,福原杏,繁田健,,1,1:33.3,39.9,3-3-3-3,1,456,-12
2024/01/09,浦和,2,ランチタイムチャレンジＣ３五 六,1400,ダ,左,良,晴,12,7,9,ベニノエンゼル,牝,7,54.0,445,-1,保園翔,海馬司,,2,1:33.7,40.5,2-2-2-2,3,445,-1
2024/01/09,浦和,2,ランチタイムチャレンジＣ３五 六,1400,ダ,左,良,晴,12,5,6,セイウンミレイア,牝,7,54.0,480,-2,國分祐,冨田敏,,3,1:33.8,40.6,1-1-1-1,9,480,-2
2024/01/09,浦和,2,ランチタイムチャレンジＣ３五 六,1400,ダ,左,良,晴,12,8,11,マッシュブライト,牝,6,54.0,472,-8,橋本直,酒井一,,4,1:34.2,40.0,6-6-6-5,5,472,-8
2024/01/09,浦和,2,ランチタイムチャレンジＣ３五 六,1400,ダ,左,良,晴,12,6,7,キタマクフィー,牝,6,53.0,448,-3,七夕裕,鹿沼和,,5,1:34.3,40.4,5-5-4-4,2,448,-3
2024/01/09,浦和,2,ランチタイムチャレンジＣ３五 六,1400,ダ,左,良,晴,12,4,4,アナハ,牝,7,50.0,418,1,中島良,川島豊,,6,1:34.8,40.3,8-8-7-7,6,418,1
2024/01/09,浦和,2,ランチタイムチャレンジＣ３五 六,1400,ダ,左,良,晴,12,3,3,ニシノサトル,牡,8,54.0,483,-3,室陽一,吉田正,,7,1:34.9,40.4,7-7-8-8,10,483,-3
2024/01/09,浦和,2,ランチタイムチャレンジＣ３五 六,1400,ダ,左,良,晴,12,2,2,ショウイモン,牝,7,52.0,427,-2,及川烈,内野健,,8,1:35.0,40.1,9-9-9-9,7,427,-2
2024/01/09,浦和,2,ランチタイムチャレンジＣ３五 六,1400,ダ,左,良,晴,12,8,12,トキノカサドール,牡,9,56.0,458,-5,吉留孝,川村守,,9,1:35.2,41.3,4-4-5-6,8,458,-5
2024/01/09,浦和,2,ランチタイムチャレンジＣ３五 六,1400,ダ,左,良,晴,12,5,5,ウルリヒト,牡,8,56.0,488,1,見越彬,小林真,,10,1:36.3,41.3,12-12-11-11,4,488,1
2024/01/09,浦和,2,ランチタイムチャレンジＣ３五 六,1400,ダ,左,良,晴,12,7,10,アールレアル,セ,0,56.0,471,3,赤津和,川村守,,11,1:37.1,42.1,10-11-12-12,12,471,3
2024/01/09,浦和,2,ランチタイムチャレンジＣ３五 六,1400,ダ,左,良,晴,12,1,1,アストロメアリー,牝,5,54.0,411,12,加藤和,長谷忍,,12,1:37.1,42.2,11-10-10-10,11,411,12
2024/01/09,浦和,3,３歳四,1400,ダ,左,良,晴,9,4,4,マーケットメイク,牝,3,54.0,400,-9,矢野貴,小久智,,1,1:34.2,42.4,4-4-4-4,2,400,-9
2024/01/09,浦和,3,３歳四,1400,ダ,左,良,晴,9,8,9,シナノエール,牝,3,54.0,429,-8,吉留孝,鹿沼和,,2,1:34.3,42.9,2-2-2-1,8,429,-8
2024/01/09,浦和,3,３歳四,1400,ダ,左,良,晴,9,1,1,カラフルピーチ,牝,3,54.0,411,-8,張田昂,平山真,,3,1:34.4,42.6,5-5-3-2,4,411,-8
2024/01/09,浦和,3,３歳四,1400,ダ,左,良,晴,9,7,7,ラグーンプリンセス,牝,3,54.0,464,-1,見越彬,箕輪武,,4,1:34.8,40.8,7-7-7-5,5,464,-1
2024/01/09,浦和,3,３歳四,1400,ダ,左,良,晴,9,2,2,カシノペガサス,牡,3,54.0,463,-4,室陽一,鹿沼和,,5,1:34.9,40.4,8-8-8-6,7,463,-4
2024/01/09,浦和,3,３歳四,1400,ダ,左,良,晴,9,8,8,クリウエーブ,牡,3,54.0,427,-7,及川烈,吉田正,,6,1:36.3,44.9,1-1-1-3,3,427,-7
