race_date,venue,race_no,race_name,distance,surface,direction,track_cond,weather,field_size,waku,horse_no,horse_name,sex,age,weight_carried,horse_weight,weight_change,jockey,trainer,win_odds
2026/06/18,門別,1,門別温泉とねっこの湯賞Ｃ４－２,1200,ダ,右,良,晴,12,1,1,ダイヤノゴトク,牝,4,55.0,,,落合玄,桧森邦,19.4
2026/06/18,門別,1,門別温泉とねっこの湯賞Ｃ４－２,1200,ダ,右,良,晴,12,2,2,リコーニック,セン,8,,,,近藤翔,川島雅,1.3
2026/06/18,門別,1,門別温泉とねっこの湯賞Ｃ４－２,1200,ダ,右,良,晴,12,3,3,イチリュウオー,牡,5,57.0,,,小野楓,齊藤正,144.9
2026/06/18,門別,1,門別温泉とねっこの湯賞Ｃ４－２,1200,ダ,右,良,晴,12,4,4,アースハーン,牡,13,57.0,,,石川倭,岡島玉,55.3
2026/06/18,門別,1,門別温泉とねっこの湯賞Ｃ４－２,1200,ダ,右,良,晴,12,5,5,マッキュラシオン,牡,3,57.0,,,服部茂,松本隆,80.8
2026/06/18,門別,1,門別温泉とねっこの湯賞Ｃ４－２,1200,ダ,右,良,晴,12,6,6,トゥレアレンシス,牝,3,55.0,,,井上瑛,小国博,6.0
2026/06/18,門別,1,門別温泉とねっこの湯賞Ｃ４－２,1200,ダ,右,良,晴,12,6,7,カーリンハート,牝,4,55.0,,,井上俊,櫻井拓,11.0
2026/06/18,門別,1,門別温泉とねっこの湯賞Ｃ４－２,1200,ダ,右,良,晴,12,8,8,イントルーダー,牡,3,57.0,,,岩橋勇,石本孝,6.3
2026/06/18,門別,1,門別温泉とねっこの湯賞Ｃ４－２,1200,ダ,右,良,晴,12,7,9,ロザヴィータ,牝,3,,,,藤田駕,森山雄,301.2
2026/06/18,門別,1,門別温泉とねっこの湯賞Ｃ４－２,1200,ダ,右,良,晴,12,10,10,ゴールデンアイル,牝,5,,,,阿岸潤,黒川智,152.8
2026/06/18,門別,1,門別温泉とねっこの湯賞Ｃ４－２,1200,ダ,右,良,晴,12,8,11,フックセンチョウ,牡,3,57.0,,,黒澤愛,森山雄,109.6
2026/06/18,門別,1,門別温泉とねっこの湯賞Ｃ４－２,1200,ダ,右,良,晴,12,12,12,ルーチェアバンティ,牡,3,,,,小川悠,小国博,142.3
2026/06/18,門別,2,とみくるマルシェ賞Ｃ４－２,1200,ダ,右,良,晴,13,1,1,オーベール,牝,3,55.0,,,黒澤愛,森山雄,438.2
2026/06/18,門別,2,とみくるマルシェ賞Ｃ４－２,1200,ダ,右,良,晴,13,2,2,グレイトエイト,牡,3,57.0,,,小野楓,小野望,19.3
2026/06/18,門別,2,とみくるマルシェ賞Ｃ４－２,1200,ダ,右,良,晴,13,3,3,パレスシャンティ,牝,3,55.0,,,阿部龍,角川秀,5.9
2026/06/18,門別,2,とみくるマルシェ賞Ｃ４－２,1200,ダ,右,良,晴,13,4,4,ダイビングキャッチ,セン,3,57.0,,,石川倭,桧森邦,3.6
