race_date,venue,race_no,race_name,distance,surface,direction,track_cond,weather,field_size,waku,horse_no,horse_name,sex,age,weight_carried,horse_weight,weight_change,jockey,trainer,win_odds
2026/06/10,大井,1,Ｃ３三 四,1600,ダ,右,,,8,1,1,ウォーバックス,セン,8,56.0,,,岡村健,遠藤茂,
2026/06/10,大井,1,Ｃ３三 四,1600,ダ,右,,,8,2,2,テンポルバート,牝,6,54.0,,,田中洸,荒井朋,
2026/06/10,大井,1,Ｃ３三 四,1600,ダ,右,,,8,3,3,アストラン,セン,4,56.0,,,達城龍,久保隆,
2026/06/10,大井,1,Ｃ３三 四,1600,ダ,右,,,8,4,5,ゴルデューク,牡,4,,,,中島良,小野晋,
2026/06/10,大井,1,Ｃ３三 四,1600,ダ,右,,,8,5,7,ヘデンバージャイト,牝,5,54.0,,,石川駿,松浦裕,
2026/06/10,大井,1,Ｃ３三 四,1600,ダ,右,,,8,6,9,ブラックレッド,牡,4,56.0,,,矢野貴,鷹見浩,
2026/06/10,大井,1,Ｃ３三 四,1600,ダ,右,,,8,7,11,トウキョーバサラ,牝,5,,,,杉山海,村上頼,
2026/06/10,大井,1,Ｃ３三 四,1600,ダ,右,,,8,8,13,ベッティーナ,牝,5,54.0,,,古岡勇,遠藤茂,
2026/06/10,大井,2,Ｃ３三 四,1200,ダ,右,,,8,1,1,パンオショコラ,牝,5,,,,谷内貫,村上頼,
2026/06/10,大井,2,Ｃ３三 四,1200,ダ,右,,,8,2,2,ナックグローリー,牡,4,56.0,,,高橋昭,立花伸,
2026/06/10,大井,2,Ｃ３三 四,1200,ダ,右,,,8,3,3,ハナヒラク,牝,4,54.0,,,西啓太,荒井朋,
2026/06/10,大井,2,Ｃ３三 四,1200,ダ,右,,,8,4,5,アネラカイカマヒネ,牝,6,,,,杉山海,中道啓,
2026/06/10,大井,2,Ｃ３三 四,1200,ダ,右,,,8,5,7,ケルティックハーツ,牡,4,56.0,,,吉井章,中道啓,
2026/06/10,大井,2,Ｃ３三 四,1200,ダ,右,,,8,6,9,イッツバッド,牝,8,,,,西優哉,市村誠,
2026/06/10,大井,2,Ｃ３三 四,1200,ダ,右,,,8,7,11,カンタベリーバイク,牡,4,56.0,,,岡村健,遠藤茂,
2026/06/10,大井,2,Ｃ３三 四,1200,ダ,右,,,8,8,13,ザゴート,牝,6,54.0,,,藤田凌,荒井朋,
2026/06/10,大井,3,３歳七 八 九,1600,ダ,右,,,8,1,1,トビーンズ,牝,3,54.0,,,千田洋,大宮和,
2026/06/10,大井,3,３歳七 八 九,1600,ダ,右,,,8,2,2,ミドルマン,牡,3,56.0,,,本田重,吉井竜,
2026/06/10,大井,3,３歳七 八 九,1600,ダ,右,,,8,3,3,リップスキップ,牝,3,,,,谷内貫,嶋田幸,
2026/06/10,大井,3,３歳七 八 九,1600,ダ,右,,,8,4,4,ベガエメラルド,牝,3,54.0,,,石川駿,松浦裕,
2026/06/10,大井,3,３歳七 八 九,1600,ダ,右,,,8,5,5,サカイワンパクオー,牡,3,56.0,,,和田譲,渡邉和,
2026/06/10,大井,3,３歳七 八 九,1600,ダ,右,,,8,6,6,オーシャンクロノス,牝,3,54.0,,,田中洸,荒井朋,
2026/06/10,大井,3,３歳七 八 九,1600,ダ,右,,,8,7,8,ボンヴィアッジョ,牝,3,54.0,,,矢野貴,阪本一,
2026/06/10,大井,3,３歳七 八 九,1600,ダ,右,,,8,8,10,ビハインドヘッド,牡,3,,,,木澤奨,朝倉実,
2026/06/10,大井,4,３歳七 八 九,1400,ダ,右,,,8,1,1,メガコウチャハイ,牝,3,54.0,,,達城龍,市村誠,
2026/06/10,大井,4,３歳七 八 九,1400,ダ,右,,,8,2,2,プレイバック,牡,3,56.0,,,菅原涼,井上弘,
2026/06/10,大井,4,３歳七 八 九,1400,ダ,右,,,8,3,3,フリホコマンドール,セン,3,56.0,,,吉原寛,渡邉和,
2026/06/10,大井,4,３歳七 八 九,1400,ダ,右,,,8,4,5,ルカドリーマー,牝,3,54.0,,,本田重,朝倉実,
2026/06/10,大井,4,３歳七 八 九,1400,ダ,右,,,8,5,7,トネタロウ,牡,3,56.0,,,藤田凌,朝倉実,
2026/06/10,大井,4,３歳七 八 九,1400,ダ,右,,,8,6,9,ヤマジュンハッピ,牝,3,,,,谷内貫,小野晋,
2026/06/10,大井,4,３歳七 八 九,1400,ダ,右,,,8,7,11,クレマチスノーブル,セン,3,56.0,,,和田譲,大宮和,
2026/06/10,大井,4,３歳七 八 九,1400,ダ,右,,,8,8,13,マドモアゼルロゼ,牝,3,54.0,,,福原杏,阪本一,
2026/06/10,大井,5,３歳七 八 九,1200,ダ,右,,,8,1,1,ジーティークィーン,牝,3,54.0,,,和田譲,中道啓,
2026/06/10,大井,5,３歳七 八 九,1200,ダ,右,,,8,2,2,ハヤテノシンノスケ,牡,3,56.0,,,吉村智,高野毅,
2026/06/10,大井,5,３歳七 八 九,1200,ダ,右,,,8,3,3,プルミエミッキー,牝,3,54.0,,,田中洸,橋本馬,
2026/06/10,大井,5,３歳七 八 九,1200,ダ,右,,,8,4,4,シジミノヒナコ,牝,3,,,,高橋優,吉井竜,
2026/06/10,大井,5,３歳七 八 九,1200,ダ,右,,,8,5,6,サスケリアン,牝,3,,,,谷内貫,嶋田幸,
2026/06/10,大井,5,３歳七 八 九,1200,ダ,右,,,8,6,8,インプライドオッズ,牡,3,56.0,,,笹川翼,福田真,
2026/06/10,大井,5,３歳七 八 九,1200,ダ,右,,,8,7,10,ゴールデンルチル,牡,3,,,,中山遥,朝倉実,
2026/06/10,大井,5,３歳七 八 九,1200,ダ,右,,,8,8,12,ケテンビート,牡,3,56.0,,,江里裕,上杉昌,
2026/06/10,大井,6,万緑特別Ｃ２一選抜,2000,ダ,右,,,8,1,1,セブンゴー,牡,8,56.0,,,岡村健,橋本馬,
2026/06/10,大井,6,万緑特別Ｃ２一選抜,2000,ダ,右,,,8,2,2,ブレスト,牝,4,54.0,,,東原悠,佐々洋,
2026/06/10,大井,6,万緑特別Ｃ２一選抜,2000,ダ,右,,,8,3,3,ルトラセ,セン,6,56.0,,,江里裕,荒井朋,
2026/06/10,大井,6,万緑特別Ｃ２一選抜,2000,ダ,右,,,8,4,4,ベアウェイトゥゴー,牝,5,54.0,,,遠藤健,佐々忠,
2026/06/10,大井,6,万緑特別Ｃ２一選抜,2000,ダ,右,,,8,5,5,ストロガノフ,牡,4,,,,中山遥,佐野謙,
2026/06/10,大井,6,万緑特別Ｃ２一選抜,2000,ダ,右,,,8,6,6,ディサイデッド,牡,4,56.0,,,菅原涼,小野晋,
2026/06/10,大井,6,万緑特別Ｃ２一選抜,2000,ダ,右,,,8,7,7,トウテイラン,牝,4,54.0,,,佐野遥,大宮和,
2026/06/10,大井,6,万緑特別Ｃ２一選抜,2000,ダ,右,,,8,8,9,グレーターホープ,牡,6,56.0,,,本田重,月岡健,
2026/06/10,大井,7,Ｂ３六,1400,ダ,右,,,8,1,1,キタノライジン,牡,5,56.0,,,西啓太,福田真,
2026/06/10,大井,7,Ｂ３六,1400,ダ,右,,,8,2,2,ビッティンキバラ,牡,5,56.0,,,藤田凌,佐野謙,
2026/06/10,大井,7,Ｂ３六,1400,ダ,右,,,8,3,3,シューボーイ,牡,4,56.0,,,和田譲,佐野謙,
2026/06/10,大井,7,Ｂ３六,1400,ダ,右,,,8,4,4,ヴァンビー,セン,5,56.0,,,石川倭,上杉昌,
2026/06/10,大井,7,Ｂ３六,1400,ダ,右,,,8,5,5,レジェンドウェイ,セン,5,56.0,,,吉井章,鈴木啓,
2026/06/10,大井,7,Ｂ３六,1400,ダ,右,,,8,6,6,グレッチャー,牡,7,56.0,,,吉村智,高野毅,
2026/06/10,大井,7,Ｂ３六,1400,ダ,右,,,8,7,8,ヘクトプリンセス,牝,5,,,,谷内貫,嶋田幸,
2026/06/10,大井,7,Ｂ３六,1400,ダ,右,,,8,8,10,ゴーゴーイーグルス,牝,4,54.0,,,矢野貴,橋本馬,
