race_date,venue,race_no,race_name,distance,surface,direction,track_cond,weather,field_size,waku,horse_no,horse_name,sex,age,weight_carried,horse_weight,weight_change,jockey,trainer,win_odds
2026/06/18,園田,1,Ｃ３三４歳以上,1400,ダ,右,良,晴,10,1,1,チョウカンセイ,セン,5,,,,南部楓,田中道,7.1
2026/06/18,園田,1,Ｃ３三４歳以上,1400,ダ,右,良,晴,10,2,2,トランセンデンタル,牡,8,57.0,,,田野豊,小村正,28.9
2026/06/18,園田,1,Ｃ３三４歳以上,1400,ダ,右,良,晴,10,3,3,シュタイナー,牡,6,57.0,,,高畑皓,三宅直,18.3
2026/06/18,園田,1,Ｃ３三４歳以上,1400,ダ,右,良,晴,10,4,4,ウインレヴェランス,牡,8,,,,塩津璃,山元博,127.6
2026/06/18,園田,1,Ｃ３三４歳以上,1400,ダ,右,良,晴,10,5,5,リスノワール,牝,6,55.0,,,山田雄,黒田隆,141.7
2026/06/18,園田,1,Ｃ３三４歳以上,1400,ダ,右,良,晴,10,6,6,アストリット,牝,5,55.0,,,井上幹,西村守,2.5
2026/06/18,園田,1,Ｃ３三４歳以上,1400,ダ,右,良,晴,10,7,7,メフィスト,牡,4,57.0,,,廣瀬航,諏訪貴,1.8
2026/06/18,園田,1,Ｃ３三４歳以上,1400,ダ,右,良,晴,10,8,8,バイアスペクター,牝,5,55.0,,,長尾翼,野田忍,50.8
2026/06/18,園田,1,Ｃ３三４歳以上,1400,ダ,右,良,晴,10,8,9,ハシノオージャ,牡,10,,,,佐々世,三宅直,24.7
2026/06/18,園田,1,Ｃ３三４歳以上,1400,ダ,右,良,晴,10,10,10,ホウオウシックス,牡,11,57.0,,,土方颯,山元博,62.7
2026/06/18,園田,2,Ｃ３二４歳以上,1400,ダ,右,良,晴,10,1,1,エルイエロ,牡,7,57.0,,,小谷周,稲田彰,58.4
2026/06/18,園田,2,Ｃ３二４歳以上,1400,ダ,右,良,晴,10,2,2,キョウワグロリア,牡,8,57.0,,,渡瀬和,小村正,129.3
2026/06/18,園田,2,Ｃ３二４歳以上,1400,ダ,右,良,晴,10,3,3,カドフィール,牡,9,57.0,,,大山真,三宅直,38.3
2026/06/18,園田,2,Ｃ３二４歳以上,1400,ダ,右,良,晴,10,4,4,クラウンオーシャン,牝,6,,,,小谷哲,溝橋利,12.2
2026/06/18,園田,2,Ｃ３二４歳以上,1400,ダ,右,良,晴,10,5,5,ピンクブルー,牝,4,55.0,,,田野豊,新井隆,1.3
2026/06/18,園田,2,Ｃ３二４歳以上,1400,ダ,右,良,晴,10,6,6,ゴールドプレミアム,牡,4,57.0,,,新庄海,野田忍,6.4
2026/06/18,園田,2,Ｃ３二４歳以上,1400,ダ,右,良,晴,10,7,7,メイプルドレフォン,牡,5,57.0,,,山田雄,黒田隆,34.7
2026/06/18,園田,2,Ｃ３二４歳以上,1400,ダ,右,良,晴,10,8,8,ヒシアラカン,牡,7,,,,塩津璃,長南和,158.1
2026/06/18,園田,2,Ｃ３二４歳以上,1400,ダ,右,良,晴,10,8,9,メイショウセツゲツ,牝,4,55.0,,,小牧太,小牧毅,5.4
2026/06/18,園田,2,Ｃ３二４歳以上,1400,ダ,右,良,晴,10,10,10,シュライフェ,牝,6,55.0,,,長尾翼,山元博,175.3
2026/06/18,園田,3,Ｃ３一４歳以上,1400,ダ,右,良,晴,10,1,1,マーティンヒル,牡,9,,,,佐々世,三宅直,136.2
2026/06/18,園田,3,Ｃ３一４歳以上,1400,ダ,右,良,晴,10,2,2,エナアスコット,牡,4,57.0,,,井上幹,田中範,5.7
2026/06/18,園田,3,Ｃ３一４歳以上,1400,ダ,右,良,晴,10,3,3,テルモピュライ,牡,4,,,,南部楓,永島太,5.8
